year,month,day,hour,min,timezone,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado,metar
2015,1,1,0,15,America/Chicago,1.5,34.7,-4.5,23.9,65,7.4,4.6,-9999,-9999,10,North,16.1,10,1030.4,30.43,-0.8,30.6,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0,METAR KADS 010615Z AUTO 01004KT 10SM OVC050 02/M04 A3043 RMK AO2 T00151045
2015,1,1,1,15,America/Chicago,1.4,34.5,-4.2,24.4,67,5.6,3.5,-9999,-9999,10,North,16.1,10,1029.7,30.41,-0.2,31.6,-9999,-9999,-9999,-9999,Light Drizzle,rain,0,0,0,0,0,0,METAR KADS 010715Z AUTO 01003KT 10SM -DZ OVC043 01/M04 A3041 RMK AO2 T00141042
2015,1,1,2,15,America/Chicago,1.3,34.3,-4,24.8,68,7.4,4.6,-9999,-9999,10,North,16.1,10,1029,30.39,-1,30.2,-9999,-9999,-9999,-9999,Drizzle,rain,0,0,0,0,0,0,METAR KADS 010815Z AUTO 01004KT 10SM DZ BKN044 OVC055 01/M04 A3039 RMK AO2 T00131040
2015,1,1,3,15,America/Chicago,1,33.8,-2.8,27,76,9.3,5.8,-9999,-9999,40,NE,16.1,10,1028.3,30.37,-1.9,28.6,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0,METAR KADS 010915Z AUTO 04005KT 10SM SCT038 OVC050 01/M03 A3037 RMK AO2 T00101028
2015,1,1,4,15,America/Chicago,0.9,33.6,-2.4,27.7,79,9.3,5.8,-9999,-9999,60,ENE,16.1,10,1027.3,30.34,-2,28.4,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0,METAR KADS 011015Z AUTO 06005KT 10SM UP SCT038 BKN048 OVC085 01/M02 A3034 RMK AO2 T00091024
2015,1,1,5,50,America/Chicago,1,33.8,-4,24.8,70,7.4,4.6,-9999,-9999,350,North,12.9,8,1027.7,30.35,-1.4,29.6,-9999,-9999,-9999,-9999,Light Rain,rain,0,1,0,0,0,0,METAR KADS 011150Z 35004KT 8SM -RA OVC040 01/M04 A3035
2015,1,1,8,58,America/Chicago,0,32,-2,28.4,87,7.4,4.6,-9999,-9999,60,ENE,3.2,2,1027,30.33,-2.5,27.5,-9999,-9999,-9999,-9999,Rain,rain,0,1,0,0,0,0,METAR KADS 011458Z 06004KT 2SM RA BR OVC009 M00/M02 A3033
2015,1,1,10,50,America/Chicago,1,33.8,-1,30.2,87,0,0,-9999,-9999,0,North,3.2,2,1027.3,30.34,-999,-999,-9999,-9999,-9999,-9999,Light Drizzle,rain,0,0,0,0,0,0,METAR KADS 011650Z 00000KT 2SM -DZ OVC006 01/M01 A3034
2015,1,1,11,49,America/Chicago,1,33.8,0,32,93,5.6,3.5,-9999,-9999,350,North,4.8,3,1026.6,30.32,-0.7,30.8,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0,METAR KADS 011749Z 35003KT 3SM BR OVC006 01/00 A3032
2015,1,1,12,53,America/Chicago,1,33.8,0,32,93,9.3,5.8,-9999,-9999,80,East,4,2.5,1024.3,30.25,-1.9,28.6,-9999,-9999,-9999,-9999,Light Drizzle,rain,0,0,0,0,0,0,METAR KADS 011853Z 08005KT 2 1/2SM -DZ BR OVC004 01/00 A3025
2015,1,1,13,59,America/Chicago,2,35.6,0,32,87,0,0,-9999,-9999,0,North,3.2,2,1023.9,30.24,-999,-999,-9999,-9999,-9999,-9999,Light Drizzle,rain,0,0,0,0,0,0,METAR KADS 011959Z 00000KT 2SM -DZ BR OVC004 02/00 A3024
